Depth (ft),GR (GAPI),SP (mV),RFOC (ohmm),RILM (ohmm),RILD (ohmm),DPHI (dec),NPHI (dec)
8008,118.6145328,-2.72589858,3.17935166,2.862448952,2.689434178,0.059832307,0.334369918
8008.5,118.0859295,-2.778126583,3.335236862,2.920771297,2.722891727,0.061008694,0.339071255
8009,115.8623414,-2.817231921,3.445664422,2.973005932,2.759668314,0.060854481,0.337546974
8009.5,113.8416811,-2.850219064,3.46055872,3.022008863,2.800955283,0.067218687,0.341365579
8010,114.3495592,-2.88409248,3.427617345,3.070865098,2.84802599,0.074548949,0.338818508
8010.5,115.9565581,-2.925856637,3.40191011,3.122871416,2.902257333,0.077126437,0.32422398
8011,115.2058664,-2.983102228,3.433605455,3.179449072,2.964403281,0.075727199,0.316909467
8011.5,112.6688194,-3.068440246,3.573334704,3.231737238,3.031565652,0.071670739,0.309002053
8012,110.633195,-3.197032237,3.832938392,3.267129285,3.099427423,0.065019974,0.288909721
8012.5,109.1219292,-3.384059828,4.021535312,3.272670811,3.163276875,0.057423844,0.271922893
8013,107.3661078,-3.644704641,3.973373477,3.239201857,3.218073028,0.05807163,0.267576324
8013.5,106.552442,-3.994305563,3.830693295,3.182337949,3.258800887,0.064903529,0.2763599
8014,107.8932592,-4.457488584,3.78204562,3.126165027,3.280502924,0.072252172,0.293243137
8014.5,110.2522059,-5.073189824,3.920009914,3.085494545,3.278394516,0.075868558,0.303816015
8015,112.6310289,-5.881566515,3.943261291,3.071846898,3.251311336,0.071833658,0.307851166
8015.5,114.4955354,-6.922999414,3.796142354,3.097066668,3.234435951,0.057018843,0.314653264
8016,116.0265292,-8.296077348,3.67093193,3.177929694,3.285683469,0.033781666,0.329168222
8016.5,117.5291202,-10.23502465,3.711425161,3.441311334,3.43857492,0.01542037,0.345172068
8017,117.0870477,-12.99334619,3.936288195,3.956990791,3.647821585,0.011283775,0.357070671
8017.5,112.0851546,-16.74955904,4.093160521,4.151990721,3.85869994,0.02033491,0.361015244
8018,104.0606518,-21.36196821,4.13633692,3.621455384,4.264908885,0.040122652,0.348360929
8018.5,94.8932958,-26.60342291,4.696394419,3.505114246,5.367819805,0.067377426,0.324312334
8019,84.34251282,-32.24188311,6.013312247,5.616812556,7.379339279,0.094099801,0.30486488
8019.5,71.74763319,-38.00196923,7.693216137,12.78355209,9.823495248,0.121471524,0.228116766
8020,57.44871696,-43.58564603,11.64804924,17.96582264,12.00431013,0.158599029,0.186190556
8020.5,44.41575166,-48.6946806,12.71874325,17.59762867,13.79389632,0.193569033,0.181354928
8021,36.04558052,-53.03084007,12.56632088,14.55231845,15.27422259,0.211072426,0.184755966
8021.5,34.57130612,-56.33659541,12.96424261,12.29017657,16.37487646,0.217124412,0.179060117
8022,35.67025725,-58.58545481,13.66152364,11.72282655,16.97572561,0.219880141,0.171157781
8022.5,36.12436459,-59.83233934,15.05229712,12.08397943,17.12416105,0.223377391,0.167063303
8023,35.45724028,-60.13226553,16.62788948,12.71292784,16.99055274,0.230346438,0.166134657
8023.5,33.78199745,-59.61428236,16.00698018,12.98847946,16.76119789,0.236917887,0.167090002
8024,32.98861393,-58.67039037,13.49529941,12.9146319,16.58891235,0.236431172,0.168485269
8024.5,35.18445112,-57.75034805,12.96948425,12.80098813,16.59218145,0.232539499,0.167683455
8025,38.71537614,-57.13679675,12.07793956,12.86934575,16.89222228,0.230383224,0.162530177
8025.5,39.23088913,-56.72997412,11.94249542,12.94999461,17.36390623,0.234111449,0.156435275
8026,37.73718516,-56.37419568,17.9898135,12.76148693,16.83560933,0.243008153,0.154707194
8026.5,36.98597682,-55.57639862,17.70261722,12.09920859,14.24676662,0.246486738,0.161888024
8027,38.6748857,-53.43799976,16.52594393,10.97674315,11.15671561,0.233783312,0.174769333
8027.5,42.55901857,-50.94834176,15.34431682,9.568581194,9.135977429,0.222575663,0.186963545
8028,47.6718617,-47.0282578,8.884729306,8.183109284,7.720765916,0.22578167,0.196266552
8028.5,80.76573757,-37.93015192,6.928258404,7.001637651,6.327008529,0.187583392,0.205167541
8029,99.70136316,-37.66166436,6.347381698,6.017857216,5.022994208,0.154787262,0.217614976
8029.5,104.0244297,-39.56316765,6.022886768,5.194312695,4.197052813,0.150053204,0.234418652
8030,101.8850841,-40.0849188,6.617505456,4.503311047,3.855033949,0.160243851,0.246018873
8030.5,96.6588639,-39.81011272,6.476262164,3.968274217,3.744152328,0.166169153,0.249159975
8031,92.18792158,-38.59274866,5.57476803,3.641887963,3.68073993,0.160286043,0.24893932
8031.5,92.27881709,-35.53938169,4.894224657,3.519612419,3.564889641,0.149760977,0.248487501
8032,94.69607845,-32.69461732,4.679200797,3.523070714,3.421882206,0.142445451,0.250124825
8032.5,95.28895554,-33.73644924,4.997561243,3.581134601,3.287334501,0.14560467,0.254402778
8033,91.43105292,-37.87370575,5.453812998,3.629814992,3.191782421,0.159459003,0.25937093
8033.5,85.55574584,-42.38561352,6.632607838,3.652111181,3.15432229,0.174847979,0.259789467
8034,79.51707015,-43.94032712,7.719061499,3.65685096,3.170702684,0.176887514,0.242804269
8034.5,74.49536753,-42.24208705,6.548167302,3.653494143,3.234986743,0.164792521,0.223645258
8035,78.17035719,-38.61025793,5.331191578,3.652624329,3.343088553,0.151739935,0.22645752
8035.5,87.5297636,-34.37300046,4.997659412,3.679558489,3.485890099,0.143654629,0.238008618
8036,95.27563465,-30.34676286,4.885279582,3.77195458,3.62636815,0.139722811,0.247743063
8036.5,98.19396637,-26.39846246,4.736800889,3.94684005,3.714256785,0.135997683,0.250278542
8037,98.87226523,-22.29185887,4.628528757,4.13771438,3.745396592,0.125851326,0.248116373
8037.5,100.1711989,-17.86561735,4.651137019,4.299756488,3.858686871,0.11198884,0.245178126
8038,102.5256809,-13.50033991,4.779526515,4.438794616,4.145611235,0.10432649,0.244531033
8038.5,102.6650525,-9.815036488,4.882625266,4.56440794,4.509564621,0.098930712,0.244998184
8039,101.2908841,-7.422123952,4.911196287,4.677305548,4.801511629,0.095662312,0.24461552
8039.5,100.5368296,-6.511596773,4.886613772,4.770776148,4.961217232,0.095943429,0.243397655
8040,102.380253,-6.637234239,4.844321723,4.837702045,5.0129628,0.096028704,0.24182255
8040.5,103.5671954,-7.293033472,4.831693585,4.87555807,4.99278278,0.09729764,0.240354621
8041,100.4479201,-8.006205644,4.859952868,4.894857148,4.940589655,0.0993853,0.239178232
8041.5,95.91628426,-8.542811494,4.902963104,4.908713217,4.895930627,0.104368958,0.238214181
8042,92.80846018,-8.763985213,4.942400985,4.923851497,4.880941015,0.109210352,0.237373017
8042.5,91.25606787,-8.557244417,5.00736897,4.934650187,4.887387526,0.112717289,0.23656529
8043,90.31441861,-9.379051624,5.143310272,4.934081371,4.904011645,0.116694508,0.235701549
8043.5,88.33308627,-13.84869559,5.382996833,4.915176601,4.919925103,0.118424733,0.23477028
8044,84.5118989,-14.65518136,5.55906725,4.872410257,4.927316048,0.113978017,0.235690313
8044.5,85.62687152,-10.44603803,4.961245363,4.808970307,4.919926768,0.104910823,0.236615673
8045,90.1861232,-5.813064147,4.799036973,4.731693852,4.891286962,0.098750648,0.23503376
8045.5,94.44147757,-3.603201396,4.94851788,4.64636815,4.829644551,0.095303864,0.247291947
8046,99.84312377,-3.111777745,5.006213745,4.547744036,4.719990724,0.090958299,0.265217219
8046.5,103.0418137,-3.214710643,5.102305792,4.423814766,4.549856293,0.086415552,0.27148972
8047,104.2651167,-3.058308977,5.264824856,4.275916398,4.335049576,0.086021989,0.271915922
8047.5,104.4797643,-2.674799954,5.32511323,4.140527174,4.160992382,0.089656499,0.276489528
8048,103.4545611,-2.277569163,5.027835074,4.051458259,4.080375402,0.079769227,0.292450758
8048.5,102.6397735,-2.063199289,4.46078468,4.011330089,4.066613551,0.049727526,0.314165258
8049,106.3183172,-2.132773461,4.117658965,4.013333128,4.090750254,0.027994759,0.332831324
8049.5,110.3119622,-2.553680644,4.073319332,4.050076783,4.145383644,0.020604476,0.344492974
8050,111.8455121,-3.353443027,4.293646191,4.111691058,4.229426661,0.023509672,0.347563796
8050.5,111.4428449,-4.407439238,4.620151528,4.187974431,4.339243781,0.033302737,0.340519066
8051,110.3389326,-5.55487355,4.8929019,4.268232432,4.446606069,0.046616062,0.325345311
