Depth (feet),GR (GAPI),SP (mV),GUARD (ohmm),MEDIUM (ohmm),DEEP (ohmm),DPHI (dec),NPHI (dec)
8149,132.3853747,-0.17326927,6.641645391,6.242918941,5.781003265,0.073591483,0.245339872
8149.5,138.6248285,0.452715874,6.650966406,6.32879845,5.884882506,0.070556193,0.250667129
8150,139.6153846,0.865712259,6.731067703,6.352757074,6.053495824,0.069767442,0.251944077
8150.5,133.1561932,1.350022731,6.853244713,6.340713138,6.273666419,0.070447414,0.247544663
8151,131.5404262,2.042342804,6.995661071,6.319406559,6.446799839,0.061936091,0.242748706
8151.5,131.0325081,3.031543945,7.135043848,6.324763783,6.540559545,0.056199323,0.24381155
8152,126.3334399,3.948203477,7.245483967,6.352487812,6.56593503,0.055234921,0.247612553
8152.5,120.2974639,4.207481772,7.295145843,6.256621857,6.536900761,0.056921076,0.250951064
8153,116.5735853,4.293886342,7.251098534,6.049866818,6.468796812,0.059147274,0.251675385
8153.5,116.3719212,4.572618567,7.116977601,5.90422937,6.377197677,0.06056119,0.250396711
8154,118.3763505,4.547207519,6.966272427,5.821303382,6.275493574,0.061044568,0.249308112
8154.5,125.2924148,3.877870415,6.850872541,5.781504605,6.174440895,0.0609368,0.250327082
8155,126.5291695,2.749159048,6.780017641,5.766989647,6.084038195,0.060999605,0.251926525
8155.5,125.8836795,-0.045834553,6.75855087,5.761379212,6.013725199,0.061883539,0.251457587
8156,124.2040305,-1.893804838,6.689374096,5.757848766,5.972626899,0.063134983,0.249055591
8156.5,122.0879582,-2.4292562,6.359608584,5.755901097,5.967416632,0.063771277,0.245374695
8157,119.5300875,-2.59631494,5.995116396,5.755158608,5.983676035,0.062919753,0.242767295
8157.5,117.8339678,-2.577083037,5.918274739,5.755186457,5.996233231,0.059821216,0.243859542
8158,120.5916821,-2.407800501,6.052952727,5.754044048,5.979701767,0.054531637,0.245388463
8158.5,126.7990279,-2.124707343,6.18988398,5.748210734,5.910895822,0.052163391,0.243140656
8159,132.0666019,-1.764043572,6.190400532,5.738257251,5.794591932,0.055012521,0.238936459
8159.5,135.8601173,-1.369262677,6.10089113,5.734027541,5.656918775,0.058051118,0.237367694
