Depth (ft),GR (GAPI),SP (mV),GUARD (ohmm),MEDIUM (ohmm),DEEP (ohmm),DPHI (dec),NPHI (dec)
7995,89.08952412,-16.02730703,6.912191141,6.592625687,6.706426929,0.074330988,0.253841271
7995.5,93.92977268,-16.39407282,6.745065791,6.148438917,6.425962105,0.075884585,0.265771191
7996,91.44556849,-16.9732807,6.668777972,6.045400391,6.159832957,0.082987666,0.270097429
7996.5,88.59235915,-16.62925587,6.557875999,6.034455593,5.910770915,0.10007638,0.270548214
7997,87.59457037,-14.49409531,6.321832896,5.941366691,5.687723346,0.116885667,0.272389385
7997.5,92.80750918,-10.4319691,6.03717644,5.863676071,5.497500263,0.119415655,0.277960468
7998,98.88885399,-6.481761468,5.868887911,5.943238552,5.335761275,0.107503658,0.284797183
7998.5,103.4205746,-4.276520201,5.884751282,5.968036432,5.191507234,0.087833734,0.290461961
7999,111.5940513,-2.24603913,5.897181874,5.529181906,5.055836594,0.067266921,0.294243845
7999.5,111.4811751,0.214367227,5.768435731,5.086775319,4.930185144,0.052819841,0.296608396
8000,109.8858846,1.693346717,5.749325759,5.023912876,4.820935372,0.052390849,0.300449664
8000.5,112.676854,2.049758326,5.672425961,4.941976978,4.73510326,0.050223002,0.309120561
8001,114.4046654,1.702177577,4.811401645,4.818326105,4.68053076,0.038975818,0.322673706
8001.5,114.5886206,1.070341832,4.609024234,4.743198629,4.665204475,0.030949765,0.338189564
8002,114.8238613,0.532142673,4.691902331,4.731635943,4.697647357,0.010296361,0.358428296
8002.5,113.8763027,0.071319882,4.966356633,4.779496796,4.776907175,0.011066877,0.371994839
8003,108.8169963,-1.514943111,5.457395614,4.883266251,4.886408285,0.013386028,0.371034762
8003.5,102.0076995,-6.155217403,5.964996686,5.008136323,5.007322652,0.020960825,0.35650734
8004,100.1558779,-9.064945103,6.037212858,5.141289789,5.119633257,0.034324369,0.330803609
8004.5,99.36290149,-9.411871869,5.832090523,5.296657156,5.210556631,0.044248594,0.304564002
8005,98.82612962,-9.103101815,5.613577018,5.478165176,5.273850922,0.048287803,0.293898809
8005.5,101.1831902,-8.455042724,5.528553826,5.645969176,5.303622426,0.047446127,0.295758152
8006,101.015322,-7.859456471,5.612313963,5.758616893,5.295010856,0.04447383,0.301703127
8006.5,96.3694154,-8.210415834,5.902077898,5.805888368,5.256549307,0.044886566,0.303345224
8007,90.22314036,-14.07723578,5.863987052,5.807552982,5.209522547,0.058323819,0.293526222
8007.5,86.7599715,-18.35550738,7.658851168,5.821733862,5.17519075,0.077214645,0.273767685
8008,85.78302669,-17.50997302,8.023761933,5.870211839,5.1703871,0.085744864,0.257611343
8008.5,87.84182894,-16.82645329,6.73358492,5.949420816,5.17016331,0.092358085,0.253661546
8009,91.69257107,-17.14429078,5.894884104,6.008885039,5.124610783,0.097300279,0.25801537
8009.5,95.38847074,-16.44762323,5.364063664,5.956454159,4.99426525,0.095352234,0.266576514
8010,96.78957878,-13.47853178,5.388288662,5.797855849,4.798772441,0.086534151,0.277429998
8010.5,95.60883916,-9.757383052,5.538950451,5.611643042,4.578619281,0.078040032,0.280804833
8011,93.343099,-8.392846738,5.485975144,5.469445276,4.367776857,0.074462673,0.271647668
8011.5,91.80912768,-10.14803414,5.429246446,5.388688808,4.176242244,0.05006133,0.263742982
8012,88.9422052,-13.47129984,5.390160176,5.32552225,3.998828635,0.048421059,0.263690402
8012.5,86.25362258,-16.66636144,5.14272744,5.234754156,3.83078007,0.055594117,0.269255331
8013,88.78940197,-17.14017439,4.798227572,5.085110138,3.668644065,0.056208594,0.277579776
8013.5,91.85721752,-27.36081446,5.303011489,4.907448211,3.511573911,0.062896329,0.284512757
8014,89.96137902,-36.75101261,7.08995812,4.74896835,3.359293919,0.08675998,0.285623199
8014.5,85.33769608,-40.52032182,8.100138211,4.638039782,3.211561375,0.104104442,0.278546803
8015,79.5729062,-45.60474131,8.947262469,4.578620326,3.068247749,0.111321875,0.266690895
8015.5,65.82506379,-51.48041228,9.325248997,4.537855177,2.931140933,0.122207674,0.252145621
8016,62.68028457,-57.28716307,10.42437351,4.437242524,2.803551537,0.133385639,0.236406405
8016.5,59.63472046,-62.46482087,11.00179114,4.217806607,2.688266732,0.139035337,0.222513919
8017,50.57639989,-66.59692229,11.29114439,3.927277615,2.587247921,0.147141193,0.212649444
8017.5,49.02938069,-69.76326103,11.11660614,3.649550057,2.500532352,0.1628534,0.207627521
8018,45.40827723,-72.15067293,10.75513969,3.459682226,2.427694673,0.175214903,0.207620653
8018.5,44.95031717,-73.94599381,10.50502978,3.360883151,2.368433492,0.176726499,0.210253751
