Depth (ft),GR (GAPI),SP (mV),SFLU (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
8075,80.15397322,-26.16248136,7.22778717,4.568315323,4.157846041,0.134895585,0.253841363
8075.5,84.03037586,-23.18072986,6.449575693,4.462707902,3.989546209,0.119679677,0.257172742
8076,87.55710152,-21.63020374,5.47646985,4.24910348,3.801289488,0.116922158,0.272137424
8076.5,91.23222217,-18.71909136,5.016388477,3.949657052,3.633043145,0.118659651,0.295515192
8077,88.17776045,-19.49235255,4.756269902,3.667088996,3.510149401,0.13187079,0.303604278
8077.5,80.93786838,-23.35112558,4.515118817,3.44247119,3.398341719,0.147259285,0.3059452
8078,76.61094848,-25.38435265,4.621384684,3.279135872,3.269266918,0.152936775,0.306078528
8078.5,74.49828341,-25.86995561,4.672229785,3.206718475,3.15167088,0.147607723,0.285063727
8079,70.65032382,-23.59971453,4.491760208,3.268251934,3.12794038,0.139306008,0.273559201
8079.5,77.36038155,-17.92723765,4.388352557,3.46942499,3.314170712,0.110289789,0.26714324
8080,86.93113458,-13.93119841,4.235423095,3.6946867,3.596951813,0.088090978,0.268600943
8080.5,65.92847742,-12.96249922,4.010054938,3.892905294,3.763796667,0.079025705,0.294510857
8081,170.7043926,-13.39397514,4.087107826,4.187857271,3.982137546,0.072814613,0.308965657
8081.5,129.3231609,-15.14668311,4.383142484,4.670167068,4.267034968,0.070607424,0.310190034
8082,88.61688788,-19.39924456,7.100529343,5.117614339,4.452481551,0.075639817,0.306252653
8082.5,59.01935603,-24.15267559,10.91374023,5.357268628,4.503669292,0.08648667,0.248064387
8083,135.6305201,-28.1498694,13.20100303,5.305453301,4.431454725,0.0938577,0.195408801
8083.5,56.52552901,-31.08000659,12.1727559,5.005032433,4.26636689,0.105925109,0.175835824
8084,50.53449522,-34.32940551,9.511180843,4.535942588,4.047877398,0.122496234,0.187328516
8084.5,48.85076218,-40.57512876,9.02788488,4.061113842,3.837876307,0.131777228,0.198908945
8085,47.43830142,-49.02749881,9.060087263,3.73849525,3.69188249,0.139873537,0.204618156
8085.5,44.0889319,-54.71647297,9.181010351,3.621423958,3.6101841,0.151002317,0.203534724
8086,42.14548291,-56.89912606,9.167028112,3.666182328,3.553696121,0.159970748,0.200663962
8086.5,45.17973894,-56.38154464,8.91641738,3.827555727,3.485564931,0.163772663,0.203379869
8087,46.02896761,-54.2450442,8.52499619,3.895520778,3.390798517,0.163557729,0.2036262
8087.5,50.40363129,-51.80800257,7.935290058,3.762828854,3.310401903,0.163372469,0.20686186
8088,63.02677583,-50.86146628,7.284150616,3.643970344,3.278119126,0.149882686,0.246720539
8088.5,65.37827916,-52.54047719,7.168375536,3.549959058,3.300746627,0.138155286,0.259937832
8089,59.16857522,-56.36619306,7.767103579,3.456571403,3.377998367,0.140010182,0.254169112
8089.5,50.81074873,-61.14328608,8.601565559,3.452819737,3.419399139,0.151442302,0.244474907
8090,41.89710187,-63.40541884,10.2440655,3.611303745,3.406456391,0.163991299,0.23607346
8090.5,34.16117494,-61.00712041,11.72114997,3.789438949,3.442136089,0.167304829,0.219853112
8091,31.95167407,-57.18589088,12.40817873,3.915670234,3.497670358,0.164892173,0.188919518
