Depth (ft),GR (GAPI),SP (mV),LL3 (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
7955.5,87.7407339,1.059729681,4.674565122,4.003836138,3.259143572,0.075233008,0.300707471
7956,87.29624857,0.601788571,4.80808301,4.13067715,3.323550667,0.072861171,0.306339853
7956.5,86.04695694,0.085678841,5.053162219,4.269772367,3.40836788,0.071927778,0.307325471
7957,83.76911352,-0.536913811,5.427914688,4.403718868,3.51281741,0.073539254,0.301251847
7957.5,81.1932231,-1.194793167,5.859295306,4.511366755,3.628999671,0.077723,0.291634952
7958,79.60525507,-1.693560659,6.139184528,4.565631962,3.745255235,0.083078709,0.283258194
7958.5,79.6608843,-1.845821758,6.039244443,4.538990846,3.848320797,0.088107998,0.277709833
7959,81.66598227,-1.640401324,5.706621956,4.422714687,3.92143875,0.091312483,0.275748969
7959.5,84.77478705,-1.195332708,5.337253971,4.258112619,3.944706629,0.09121148,0.277609699
7960,86.63402277,-0.631621058,4.987082113,4.091594652,3.902347428,0.087617826,0.282779713
7960.5,89.41658767,-0.060640092,4.700603711,3.94246293,3.805969627,0.082462663,0.289713994
7961,92.61278162,0.474411887,4.616590259,3.801848439,3.679639209,0.077765451,0.296509923
7961.5,93.26832309,0.959754815,4.751031414,3.66678362,3.545891881,0.075435275,0.301264596
7962,90.47495525,1.381724674,4.941219672,3.540867027,3.421938293,0.075517966,0.30287276
7962.5,86.81739211,1.726658603,5.020970802,3.427458231,3.311304461,0.076245258,0.302887812
7963,84.41639721,1.986867853,4.948461722,3.3294674,3.213979881,0.075796648,0.303356192
7963.5,84.02435777,2.174558543,4.744816542,3.247925939,3.129976781,0.073674121,0.305076606
7964,86.53541853,2.306073043,4.471102143,3.181149324,3.059354647,0.071400694,0.307671519
7964.5,92.12385444,2.39794335,4.249322271,3.127075112,3.002244809,0.070670021,0.310719876
7965,94.74295491,2.469904551,4.148241434,3.082436673,2.958875372,0.073167492,0.313828182
7965.5,95.27587039,2.544358998,4.172746127,3.043866368,2.928271348,0.079143525,0.316620869
7966,95.35419531,2.643790384,4.238659685,3.008203803,2.905579008,0.085802211,0.318764349
7966.5,95.80501411,2.786202781,4.271067745,2.97374265,2.886586833,0.090168895,0.320040848
7967,98.35439422,2.951766717,4.252673276,2.941860344,2.869997577,0.091672528,0.32041406
7967.5,101.489251,3.101651742,4.177413063,2.914303844,2.854949949,0.091272528,0.320719646
7968,103.0583363,3.196884123,4.076080428,2.892588844,2.840603586,0.089700717,0.322086195
7968.5,102.2421796,3.198490131,4.007937004,2.876675389,2.826135787,0.087005904,0.325308254
7969,101.2290705,3.067496034,4.02751097,2.865766789,2.810740671,0.083118952,0.329955315
7969.5,99.53535116,2.776822112,4.130850623,2.859099284,2.793844451,0.077934797,0.333724983
7970,96.97527922,2.412497468,4.251422821,2.855936844,2.777106069,0.072288154,0.332526113
7970.5,95.72662234,2.123120091,4.314721123,2.855577002,2.763458117,0.068534191,0.325883498
7971,94.31788537,2.044586679,4.285033047,2.857895952,2.755799319,0.068757733,0.32081813
7971.5,93.89297635,2.069582377,4.179029504,2.863495385,2.756965155,0.072097808,0.320942567
7972,95.42820548,2.066233277,4.024682584,2.873037725,2.768503211,0.076381486,0.323206565
7972.5,97.73621666,2.058726935,3.892429798,2.887208631,2.790729598,0.07954361,0.323992501
7973,98.06133221,2.076062215,3.865351048,2.906726796,2.824029654,0.08106368,0.32041487
7973.5,95.65936259,2.156479049,3.978723746,2.931982196,2.868902251,0.081534383,0.31426268
7974,93.51845077,2.349929356,4.12567022,2.962205215,2.924317392,0.08157238,0.309163068
7974.5,93.85083321,2.685737578,4.195277427,2.996375876,2.986447722,0.081462826,0.308747565
7975,95.13950703,3.06618204,4.303105375,3.033498053,3.050904384,0.081168926,0.316434991
7975.5,96.4905261,3.346801393,4.434136121,3.073260726,3.1129143,0.081139187,0.327964714
7976,98.50616344,3.422272681,4.447882226,3.115839063,3.167322139,0.081846502,0.331261718
7976.5,100.7454886,3.336925937,4.489168693,3.161429782,3.208672775,0.083529,0.326479663
7977,100.8985601,3.170788462,4.588718361,3.210243371,3.231382439,0.085781284,0.319262532
7977.5,97.45713584,3.003824938,4.586321263,3.26250552,3.230000923,0.087243015,0.315221344
7978,95.02092309,2.902824469,4.439923867,3.318469015,3.203526978,0.086424193,0.316806409
7978.5,96.28994071,2.905228438,4.290700353,3.378592927,3.170491805,0.083183379,0.321602396
7979,99.08735504,3.04451458,4.279864383,3.443535934,3.154588488,0.078663369,0.326779308
7979.5,101.1461471,3.332231681,4.496629055,3.514016149,3.179231148,0.074053664,0.32951433
7980,100.2423553,3.698071787,4.74161869,3.590814777,3.268896875,0.070317645,0.328415894
7980.5,97.80189138,4.05258965,4.708279434,3.674785361,3.41183188,0.068086892,0.325160956
7981,96.77964469,4.292919307,4.520197519,3.76670196,3.533973688,0.06782915,0.320723163
7981.5,96.84404644,4.284433044,4.590733583,3.867073202,3.586100658,0.069063031,0.315256701
7982,96.97892063,3.980874401,5.151003592,3.976418996,3.642710802,0.070842888,0.309024652
7982.5,96.88080213,3.509868158,5.417969327,4.095314464,3.806419376,0.071272177,0.305900871
7983,96.9510969,3.01801909,5.217139083,4.22466968,4.066494983,0.067723183,0.311978024
7983.5,98.44872742,2.582825443,5.374256434,4.368804638,4.31670829,0.058066651,0.322975547
7984,102.7997904,2.063521381,5.497195428,4.534853523,4.566863858,0.044710709,0.332070369
7984.5,103.9773904,1.276822387,5.471514768,4.731127294,4.846688837,0.03293602,0.338200002
7985,100.1333161,0.127581836,5.84060273,4.967678452,5.193530992,0.028450273,0.341717943
7985.5,93.35754176,-1.287783303,6.791231744,5.485776176,5.650158439,0.032211253,0.335881783
7986,86.06246758,-2.851403607,8.694976827,7.261736604,6.216777035,0.044463972,0.316720118
7986.5,73.87897248,-4.680518678,10.30211141,8.630650335,6.856527631,0.066505742,0.277178226
7987,60.63076704,-7.264628112,12.6863015,9.347914807,7.53416738,0.094730345,0.243888999
7987.5,53.55441895,-11.09757828,16.07633819,10.58122558,8.271973142,0.117596416,0.237270346
7988,48.91946358,-15.68865125,19.11178806,11.48769019,9.095051999,0.131322296,0.233475493
7988.5,43.35640723,-19.50825866,18.83997857,11.55462195,9.983087901,0.140928668,0.227449397
7989,42.84901824,-22.2731363,18.47033631,11.24449197,10.87851331,0.149567038,0.223378408
7989.5,44.68981551,-24.32303925,19.32879427,11.03476592,11.60360302,0.155965664,0.224563128
7990,46.47416676,-26.0504092,18.44700249,10.87968471,11.97850467,0.160568451,0.229471305
7990.5,47.55280521,-27.85272772,16.34077726,10.71190102,12.0697414,0.165222702,0.235037912
7991,47.34160664,-29.9007512,16.27637,10.6057829,12.02687328,0.170476686,0.23909406
7991.5,47.87021255,-32.18633633,16.47206386,10.63188466,12.00683445,0.176153704,0.242478435
7992,49.85717686,-34.67432457,15.81018096,10.79764849,12.1108915,0.181758364,0.246534369
7992.5,55.11005081,-37.24466995,15.67462887,11.06193393,12.32574808,0.186490728,0.249931694
7993,58.05681942,-39.75699994,16.43578444,11.38124959,12.62473854,0.189869798,0.249698681
7993.5,52.99429676,-42.07267236,17.83716855,11.70823486,12.98033134,0.19289212,0.247359744
7994,45.78974441,-44.10081472,19.59292462,12.00197229,13.36425884,0.196965612,0.245820392
7994.5,41.30493415,-45.80339995,20.95312662,12.2332667,13.76766018,0.203086076,0.245969553
7995,36.89927851,-47.17817957,21.04101095,12.37813235,14.19618371,0.209059358,0.246035233
7995.5,34.7967349,-48.29462864,20.55943994,12.42829427,14.65642607,0.211737367,0.244461896
7996,34.0238066,-49.17593894,20.48163262,12.38675846,15.15577437,0.211074016,0.240530656
7996.5,34.36115406,-49.5998925,20.87946541,12.27258495,15.69019498,0.208145965,0.235803342
7997,35.66097083,-49.4246148,20.53392209,12.10842926,16.21603543,0.204023724,0.232494439
7997.5,38.48480008,-49.01317963,19.68346399,11.93460773,16.67615566,0.199460257,0.231755239
