Depth (ft),GR (GAPI),SP (MV),RFOC (ohmm),RILM (ohmm),RILD (ohmm),DPHI (dec),NPHI (dec)
8025,89.09109541,-21.82308481,3.907860809,2.369380812,2.594772964,0.104909993,0.284951026
8025.5,82.00328006,-25.51139144,3.30392747,2.257175686,2.316789799,0.096988587,0.308861614
8026,76.3516482,-32.41274878,3.291299283,2.127376425,2.155756746,0.103714643,0.325538577
8026.5,60.34480399,-38.94038616,3.332259611,2.023869805,2.098662477,0.124691734,0.337633367
8027,47.57174251,-42.10855403,3.703178726,1.996106006,2.086720808,0.177251731,0.350969248
8027.5,42.29954254,-48.06766251,4.250971202,2.086212748,2.08315564,0.210974543,0.352777116
8028,44.13985057,-50.86976538,4.457924356,2.297595266,2.185715484,0.225515855,0.324466772
8028.5,50.1721762,-43.08132668,3.966897928,2.61751367,2.486105643,0.18707103,0.301867177
8029,66.27806216,-30.76476952,3.662789963,3.019434598,2.791077181,0.156481145,0.287775474
8029.5,80.37248039,-23.29215617,4.153657569,3.463909951,3.129972302,0.141380848,0.276923378
8030,85.50964449,-24.60152622,4.810409717,3.88985108,3.905258579,0.15249586,0.264361042
8030.5,77.71093964,-28.94734366,5.777460189,4.210938712,4.636133546,0.170911872,0.245968068
8031,70.17079331,-29.71925776,7.376489004,4.38288787,4.867445884,0.168188729,0.222447488
8031.5,63.96043444,-28.85103759,8.762770197,4.433179266,4.722501536,0.150522341,0.196241366
8032,52.06984361,-29.82899883,7.153492712,4.432022361,4.447981548,0.128535748,0.169794096
8032.5,47.89402541,-32.23561402,5.337767187,4.403731883,4.18547286,0.118258416,0.146522772
8033,48.36907383,-34.90391946,5.199758353,4.191234354,3.90386365,0.125169256,0.134295866
8033.5,49.51074868,-37.72639424,7.017364713,3.676327825,3.569587957,0.125579341,0.136949714
8034,47.57915982,-44.15327036,10.7334355,3.027387831,3.165321733,0.120436829,0.138360688
8034.5,40.15683888,-49.82570852,9.845638864,2.500216781,2.706829157,0.118424504,0.131598252
8035,36.071861,-48.30144373,7.758304425,2.121824554,2.248513795,0.127658952,0.131636233
8035.5,40.20808573,-44.68689383,4.782947276,1.848768184,1.831835682,0.146737242,0.15089064
8036,53.94913742,-43.7053358,4.069232908,1.651894702,1.497959025,0.166874503,0.171479511
8036.5,67.10714434,-47.92332034,4.078493839,1.511850238,1.279564481,0.184236139,0.185276899
8037,63.7230646,-53.68125397,4.047685936,1.416367494,1.185040107,0.197961644,0.192135123
8037.5,52.54116747,-61.41613372,3.96887862,1.357986211,1.184668904,0.207354873,0.192503963
8038,46.97331752,-62.74674522,4.360065775,1.338697145,1.239908533,0.212922517,0.188347957
8038.5,45.40905165,-64.54902996,5.551645499,1.374245092,1.317258826,0.215885549,0.181740175
8039,44.62494173,-69.97716962,6.299371394,1.48902731,1.385547734,0.219100067,0.173522863
8039.5,40.37090881,-72.89707977,7.332566303,1.69149614,1.439930455,0.219932594,0.164081828
8040,37.13279479,-74.6559608,8.108344889,1.776663105,1.483472969,0.198479387,0.15553172
8040.5,41.4901013,-73.24095844,7.602651397,1.765881569,1.520142486,0.188411828,0.151687162
8041,45.02779932,-68.13771673,6.601219701,1.752901903,1.550138042,0.161535191,0.156305516
8041.5,51.71791004,-68.75897918,6.035934139,1.723643941,1.551748784,0.17717166,0.169202032
8042,53.75250293,-67.24357884,5.919728619,1.650199532,1.53087787,0.196758188,0.1826833
8042.5,49.46215202,-72.69826912,5.992314345,1.569623725,1.525584818,0.20986824,0.188904075
8043,45.9033844,-85.383608,6.058434477,1.519605593,1.541312471,0.221434619,0.190530163
8043.5,43.52053327,-89.95330368,6.124322277,1.492952371,1.517705357,0.234503369,0.189413222
8044,41.06056453,-92.64061208,6.372884853,1.470219785,1.393226176,0.243841164,0.185642171
8044.5,38.68441487,-93.86188829,7.050977582,1.454967228,1.250314815,0.242899584,0.178456025
8045,36.83271073,-94.01448744,7.747794325,1.456865322,1.244183311,0.234411576,0.168590256
8045.5,35.79970642,-93.59545318,7.975473909,1.484944229,1.319574077,0.226338289,0.159861659
8046,35.33472035,-92.58404571,7.523187864,1.538214093,1.42370274,0.220905695,0.155071511
8046.5,35.11747368,-88.59989409,6.624018254,1.599141563,1.501705186,0.206838984,0.1548929
8047,37.84311028,-84.09413745,6.135793246,1.643610077,1.540418199,0.199909348,0.159794317
8047.5,44.96645256,-82.8575044,6.057105056,1.663212178,1.548178575,0.19883323,0.168457422
8048,48.23494649,-83.22743466,6.026766584,1.665784967,1.538673161,0.19929106,0.176398897
8048.5,50.76546095,-83.63696067,6.120066372,1.660479184,1.526351866,0.199259015,0.179975929
8049,50.95933242,-83.88794146,6.351361408,1.656578197,1.525083151,0.19725357,0.179860242
8049.5,50.46900056,-84.22144471,6.54547289,1.658091857,1.53859888,0.194239305,0.177722253
8050,50.6749981,-84.87865011,6.680915667,1.648730952,1.558943966,0.191967216,0.17523238
8050.5,51.37179514,-85.97636421,6.927353895,1.631093411,1.578674753,0.191641158,0.174060467
8051,52.19763503,-87.26069152,7.515373936,1.625819352,1.593705182,0.193383319,0.174460977
8051.5,52.83642978,-88.40897828,8.242709463,1.653956212,1.600411887,0.197154366,0.172448968
8052,52.62463992,-89.10158467,8.46834935,1.726546657,1.59521533,0.202364714,0.16708243
8052.5,49.84222492,-89.29084314,8.637381393,1.796098143,1.574972836,0.207904744,0.160438133
8053,45.93334816,-89.41358473,9.945240691,1.790564557,1.539792669,0.207357887,0.153454306
8053.5,43.87136588,-89.9566549,9.924025413,1.696332619,1.49237985,0.196877063,0.146803891
8054,42.11558144,-91.29683208,8.763921754,1.58489309,1.43560526,0.193205328,0.142008083
8054.5,39.4536578,-93.10778543,7.702035031,1.471415271,1.372887727,0.198415668,0.138127723
8055,38.07710055,-94.79909682,7.136133259,1.362502038,1.310318412,0.208607139,0.136985076
8055.5,38.03589506,-96.00422087,6.920271925,1.277825365,1.256344338,0.218728867,0.146964897
8056,38.02967737,-96.55076743,6.882589638,1.254089637,1.225259928,0.225902312,0.163431565
8056.5,37.5653333,-96.33400223,6.866131802,1.282754206,1.232017602,0.228143221,0.170603115
8057,36.32729224,-95.59762029,6.944039492,1.353410648,1.282401139,0.226434217,0.166990665
8057.5,34.86293593,-94.70833839,7.217922597,1.458368372,1.315756833,0.223327248,0.160676014
8058,34.84249843,-94.01944842,7.422446126,1.589257858,1.31401645,0.221198995,0.158081427
8058.5,35.8667732,-93.48044335,7.375498603,1.734398989,1.508972023,0.220418172,0.158222471
8059,37.02281635,-92.57828591,7.050300943,1.877021305,1.730759705,0.220145113,0.158262241
8059.5,38.59969963,-90.78854954,6.74282649,1.994770653,1.797747962,0.219522147,0.157212637
8060,41.00321233,-88.14997209,6.749338407,2.065300336,1.926786037,0.217690406,0.156976342
8060.5,44.6759624,-85.44423153,6.890007656,2.085420897,2.033427341,0.214257864,0.159695906
8061,48.17078491,-83.45454909,6.935458262,2.060457966,2.005394991,0.210125491,0.166511365
8061.5,51.10838578,-82.49282463,6.908011625,1.996533715,1.894454152,0.206416308,0.176706586
8062,52.36711336,-82.6090031,6.877438364,1.901233128,1.828803989,0.204649097,0.185569152
8062.5,51.36535224,-83.76290112,6.889809248,1.783189306,1.790767726,0.20761788,0.188275517
8063,51.46782457,-84.96460156,6.871359054,1.656788076,1.715844907,0.212897061,0.188359213
8063.5,52.55849002,-85.81233527,6.749381389,1.53984425,1.597373686,0.213418008,0.188398835
