Depth (ft),GR (GAPI),SP (mV),RFOC (ohmm),RILM (ohmm),RILD (ohmm),DPHI (dec),NPHI (dec)
8029.5,99.92040405,-9.499873342,4.15434833,3.955398516,3.994719097,0.058800076,0.28141056
8030,99.35200614,-11.73408489,3.876418957,3.91632245,3.796395834,0.064579823,0.31577303
8030.5,98.60702088,-13.30643139,3.916690883,3.883227654,3.600965645,0.06523057,0.329389591
8031,99.84398491,-18.00649439,4.14151513,3.8505829,3.465566943,0.063527884,0.32571409
8031.5,100.4886298,-18.44775515,4.32899769,3.821697973,3.389881799,0.061986824,0.316899723
8032,97.04402813,-16.74749198,4.355415546,3.799915296,3.361648752,0.060447881,0.312010145
8032.5,91.36177992,-17.95727255,4.292577938,3.792997127,3.371165089,0.057287559,0.308883612
8033,86.18362769,-25.14461073,4.223958494,3.814387161,3.410033635,0.05351637,0.306394981
8033.5,82.16783753,-29.88626231,4.171289664,3.878676218,3.468523071,0.052299471,0.305361459
8034,83.4238457,-30.91169336,4.131222835,3.998998955,3.534867594,0.053613764,0.306357202
8034.5,90.82323851,-29.14348043,4.100569158,4.139103997,3.596425859,0.056312732,0.308549833
8035,100.1160201,-24.57844659,4.077826837,4.236288976,3.639696982,0.059283642,0.310631912
8035.5,111.0718822,-16.9155488,4.076720732,4.249829175,3.650751398,0.061462453,0.311311196
8036,125.7348804,-9.82393912,4.119167534,4.148556515,3.617100506,0.061788768,0.30981301
8036.5,133.0206504,-5.544454155,4.208957151,4.002007346,3.548849889,0.059314813,0.305988254
8037,128.9749691,-3.848519486,4.330529319,3.895844283,3.476882498,0.054895721,0.299992905
8037.5,127.2814167,-3.575732284,4.419587962,3.774512194,3.430867297,0.050837322,0.293809497
8038,124.6421868,-3.954735249,4.234008166,3.627205679,3.420176988,0.049485644,0.291286581
8038.5,119.8602598,-4.687274524,3.868744833,3.480926651,3.383752147,0.051680929,0.295494411
8039,118.0260964,-6.675564649,3.607069739,3.360028643,3.251229623,0.053700419,0.308050086
8039.5,122.3524024,-8.611063292,3.653059324,3.285829038,3.04105497,0.051622645,0.321623535
8040,131.5263996,-5.855380647,3.827981878,3.272399628,2.84473183,0.050360651,0.329414896
8040.5,139.0111968,-1.672489923,3.804679346,3.3016121,2.732508389,0.052376985,0.334947091
8041,136.2519012,-1.85718244,3.686051772,3.345706773,2.710615539,0.05656017,0.341601484
8041.5,127.0733812,-12.1523457,3.620545648,3.389132024,2.754455897,0.059441341,0.347212781
8042,115.9569247,-22.62405326,3.636888618,3.433920073,2.843349207,0.058275931,0.348439075
8042.5,104.004583,-26.23317879,3.673191625,3.479891307,2.95675988,0.055552129,0.344872529
8043,91.87028093,-34.43312853,3.774560707,3.517389713,3.071555654,0.053879503,0.339001405
8043.5,80.2722163,-42.53822704,3.949644588,3.537344673,3.161186553,0.052354027,0.332867116
8044,70.9473525,-44.27952618,4.083074883,3.56444288,3.211099242,0.048931307,0.326997699
8044.5,67.74322368,-44.49454708,4.07886255,3.64950418,3.231219908,0.043163622,0.325022117
8045,72.69221411,-45.2382096,4.020633018,3.804818182,3.235091023,0.041684125,0.327328066
8045.5,85.34632184,-43.54812961,4.032849743,3.901050577,3.236769021,0.041627483,0.329177682
8046,100.5651439,-36.05875215,4.152310166,3.943586844,3.250424956,0.042165135,0.327462999
8046.5,112.5244861,-29.94324705,4.201753985,3.960066601,3.290450432,0.043310576,0.323255383
8047,121.4331848,-45.4282749,4.037066927,3.977430588,3.363149015,0.045146125,0.318354785
8047.5,122.35185,-53.97807935,3.836777601,4.012860234,3.459650631,0.047233267,0.315321543
8048,112.115234,-12.10714257,3.838625877,4.081352154,3.568844082,0.044689014,0.316700412
8048.5,97.73923084,71.79660093,4.302661299,4.197880645,3.678446973,0.041226718,0.319091524
8049,81.7698394,50.96833221,5.165033386,4.336346645,3.778628137,0.042985798,0.31251761
8049.5,49.23329344,-107.863673,5.236174586,4.424820716,3.862821112,0.04731238,0.29652674
8050,47.85724803,-42.02294235,4.931648016,4.467610877,3.924335252,0.05374601,0.286591062
8050.5,55.44596447,-19.17445348,4.776139053,4.540903083,3.956481234,0.065313879,0.284235128
8051,55.8655063,-41.38750172,4.807624838,4.716591153,3.97089238,0.075788583,0.287208854
8051.5,54.19925036,-40.00981798,4.963353968,4.953842865,4.043038159,0.05356136,0.296084831
8052,52.12108465,-36.66507982,5.185962456,5.1316981,4.270370438,0.017731361,0.31201463
8052.5,49.44489057,-36.54285182,5.397450626,5.19936494,4.755505267,0.00977406,0.33175646
8053,47.44658351,-35.82670252,5.500681933,5.616607511,5.473960107,0.00355891,0.343027661
8053.5,47.98758783,-36.47351197,5.81941288,6.554595179,6.303830176,-0.014010942,0.334238744
8054,50.87307448,-38.37468138,7.17224006,7.826306945,7.155638308,-0.002695599,0.310197718
8054.5,52.42074891,-40.55454578,9.768657376,9.336356133,8.127585257,0.07469021,0.267177729
8055,52.08919157,-41.43287306,11.45665248,10.9762106,9.499004174,0.126210838,0.206369388
8055.5,53.8226867,-39.91737028,13.28709468,12.8330284,11.81491522,0.156000641,0.175565694
8056,63.12656918,-36.88908533,17.07031621,15.11254479,15.79173347,0.17379766,0.167878499
8056.5,84.2629884,-33.56790513,20.98901939,17.77553217,19.66809916,0.183108116,0.162446568
8057,91.14050535,-31.31250542,22.51153899,20.28626835,21.30553491,0.186612671,0.163047288
8057.5,88.42161253,-30.82026142,22.12213952,21.83084127,21.20719961,0.186702978,0.166318951
8058,88.20255265,-30.66973225,21.22297698,21.75738513,20.43267526,0.184561306,0.166786746
8058.5,89.7942013,-30.45008767,20.27419208,20.50460677,19.48892068,0.181050231,0.155837731
8059,90.87253421,-31.1732688,19.14213877,18.84176821,18.68126724,0.176933063,0.150503706
8059.5,89.53172973,-34.63489261,17.72315249,17.35330777,18.12335039,0.172860513,0.156935153
8060,84.0495371,-41.79817093,16.13360573,16.13539363,17.06752545,0.169477217,0.168455658
8060.5,77.31258146,-46.60075163,14.81174437,15.13296151,15.52206327,0.167427808,0.179956964
8061,74.95886321,-49.3223907,14.10963611,14.28746572,14.21576791,0.167245077,0.189327955
8061.5,75.59579983,-52.6521514,14.27870294,13.49547626,13.48790791,0.168279405,0.193415189
8062,76.95023019,-53.5435287,15.04474842,12.66769485,12.96970342,0.169170784,0.190859579
8062.5,78.33324928,-52.32861403,15.96102976,11.88227502,12.30488643,0.168614618,0.186949035
8063,79.55372676,-51.16419681,16.89326465,11.34491023,11.62848133,0.166597498,0.186089567
8063.5,80.52183951,-51.91134499,17.74192548,11.15314879,11.15292935,0.165089093,0.186143006
8064,81.45917886,-53.43478231,18.40686223,11.26414965,10.95916168,0.167278192,0.183017607
8064.5,82.64708715,-53.61425347,18.85499626,11.64179477,11.08207474,0.173009306,0.17768422
8065,84.31013658,-52.95998989,19.08000727,12.21126708,11.42959113,0.179970603,0.176706133
8065.5,85.88726453,-52.12688905,19.14083156,12.8224979,11.88246179,0.185968297,0.178418447
8066,86.24368685,-51.41655121,19.51610512,13.2999645,12.35642667,0.18973503,0.177258002
8066.5,84.50545592,-51.11597409,20.22003097,13.60043416,12.8671694,0.190357829,0.169920524
8067,81.94390222,-51.45278036,20.11310921,13.81787655,13.44880522,0.186967886,0.162977765
8067.5,80.84132569,-52.09336045,19.42832494,14.06080098,14.12922135,0.180527719,0.159844195
8068,82.6724195,-52.39658552,18.85211942,14.39333998,14.8113226,0.174407242,0.160111487
8068.5,84.81982198,-52.05898535,18.86736716,14.71343872,15.30995742,0.170683127,0.163313579
8069,83.48068963,-51.55531229,18.87994455,14.8755491,15.63332767,0.169876067,0.16896734
8069.5,78.57527891,-51.41666276,17.84567478,14.981843,16.00996117,0.172417656,0.174648553
8070,73.62033031,-51.65314559,16.399481,15.4084058,16.4675054,0.177734825,0.177075527
8070.5,64.57132055,-52.6734469,16.22470335,15.86208056,16.84281117,0.183596594,0.177378064
8071,57.61267144,-55.28945125,16.75016382,15.99027583,16.9535788,0.188094666,0.177135813
8071.5,58.37848805,-58.90118151,17.24645297,15.70077985,16.67869573,0.190702732,0.177575952
8072,60.59285863,-60.19459071,16.80211317,15.21394369,16.08993318,0.191252601,0.177620373
8072.5,61.12627409,-61.42769205,15.84511142,14.67722972,15.15732961,0.190161476,0.175264374
8073,59.81851412,-62.29252993,16.16842575,14.1389678,13.80187313,0.188017794,0.169570877
8073.5,58.33240574,-62.40811891,17.29853817,13.32000723,12.78194173,0.184349871,0.163997263
8074,58.68233469,-61.51645195,16.9870107,11.93306379,11.7333026,0.177286815,0.16312875
8074.5,62.24274098,-59.29819665,14.27546599,10.14896887,9.960104869,0.166946663,0.171550561
8075,68.94115556,-55.56937355,10.33505766,8.816192173,8.356434041,0.154993959,0.193099499
8075.5,73.08799051,-50.90525791,8.032197387,8.089979584,7.52842399,0.136000629,0.218938412
8076,70.70534638,-46.14439543,7.05493097,7.723121973,7.17986753,0.099026255,0.234210599
8076.5,70.0548686,-41.8675321,6.713749377,7.540741751,7.059630072,0.077862816,0.24037713
8077,76.22189196,-36.62643571,6.635945815,7.40484301,6.983774576,0.074795415,0.242407707
8077.5,85.8751586,-23.4385699,6.596899911,7.248523793,6.899443775,0.071655858,0.244506527
8078,97.50571676,-5.194973224,6.566818529,7.076947746,6.814979507,0.069717209,0.248393967
8078.5,103.3703235,-6.366243928,6.54753698,6.898774246,6.738786459,0.070856937,0.251353309
8079,97.37689491,-8.531037548,6.540914897,6.721972729,6.67133993,0.074170561,0.250549118
8079.5,93.00043872,-5.15207357,6.544232211,6.55423477,6.579295153,0.078286527,0.24644332
8080,93.54671568,-0.950467919,6.536917102,6.402822618,6.422049128,0.081767231,0.24123209
8080.5,99.72117097,1.245961026,6.531256543,6.274359699,6.184434268,0.082400354,0.237119603
8081,109.131813,1.934014492,6.622192333,6.17407315,5.911649226,0.077470447,0.235410621
