Depth,GR (GAPI),SP (mV),LL3 (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
8031,87.38865638,-6.351534152,5.9541855,4.526702942,4.62919852,0.078119743,0.259565496
8031.5,91.72961047,-2.582305452,5.938313844,4.66016359,4.662528452,0.065462509,0.265872814
8032,94.18704931,0.259409895,5.843178021,4.739826928,4.695306061,0.061372079,0.273545552
8032.5,94.48332144,2.065441791,5.6771022,4.697350293,4.728295087,0.060370122,0.282629874
8033,93.70588443,2.951551502,5.468392081,4.583337078,4.762281071,0.053609083,0.293133607
8033.5,97.9175698,3.214634141,5.250849213,4.464883115,4.798072354,0.041717322,0.305058844
8034,103.4870133,3.192619546,5.076457894,4.393399026,4.834956006,0.033414569,0.317603052
8034.5,104.2949228,3.378555531,4.997838274,4.379825275,4.856827926,0.02812767,0.326446158
8035,107.5422343,3.734672482,5.062010093,4.427891256,4.838665006,0.021992532,0.326839272
8035.5,110.7560718,3.711253282,5.277234226,4.542041283,4.759071727,0.020213318,0.319777276
8036,106.5793334,2.743471306,5.605454952,4.693588255,4.644303074,0.024232499,0.309760951
8036.5,103.8045487,0.839851704,5.925038139,4.819179881,4.556261545,0.033726648,0.30118997
8037,98.46717863,-0.585662748,6.077996723,4.867202849,4.55390957,0.047972423,0.295450151
8037.5,92.81709361,-1.074253925,5.99954989,4.852304409,4.693417318,0.063546347,0.291150397
8038,90.80015658,-1.220302551,5.783612153,4.80595978,4.879446279,0.076764977,0.286795914
8038.5,90.63438625,-1.654729188,5.563090848,4.759671131,4.877923693,0.087426375,0.280891906
8039,89.96781255,-2.951850481,5.467025034,4.742302293,4.731674863,0.095924356,0.272139623
