Depth (ft),GR (GAPI),SP (mV),SFLU (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
8025.5,84.65555987,-7.846052195,5.741371912,5.032418247,4.866159854,0.05129133,0.239393532
8026,84.58543917,-7.794494075,6.290455611,5.027394616,4.931015186,0.047171028,0.235233988
8026.5,83.93017551,-7.325938894,6.541329602,5.0201398,4.972722488,0.046213405,0.232620863
8027,83.14326441,-6.69738692,6.481230557,5.026687654,4.991897098,0.049868058,0.2345849
8027.5,82.62282899,-6.154335089,6.250454705,5.060658367,4.992668401,0.057992088,0.239326069
8028,82.8986775,-5.794448121,5.913598976,5.118142997,4.979611172,0.060377407,0.244667152
8028.5,84.54906408,-5.660689251,5.574064229,5.193266102,4.957396662,0.054788725,0.248818459
8029,87.25546384,-5.743747609,5.393258874,5.292267332,4.930872941,0.050676406,0.250004092
8029.5,89.2586753,-5.950987293,5.529147354,5.418775941,4.905679503,0.053914732,0.24714705
8030,89.58088214,-6.182313943,6.153784365,5.521073409,4.887598474,0.05322445,0.241673732
8030.5,88.13234678,-6.337785121,7.088268955,5.541770823,4.88233814,0.044814884,0.235872269
8031,86.82243176,-6.365407227,7.735395096,5.468086811,4.889096241,0.033088263,0.232383247
8031.5,87.48825321,-6.329182452,7.491353048,5.300860999,4.888927672,0.035005545,0.233877196
8032,89.02363195,-6.269534036,6.390851112,5.059352597,4.859826151,0.038544458,0.24415796
8032.5,90.52482592,-6.029927668,5.263002136,4.771669127,4.780658836,0.039330561,0.262057204
8033,93.00480385,-5.401427093,5.0234646,4.53466943,4.636061491,0.040354407,0.266541095
8033.5,94.98184117,-4.470635898,5.00531081,4.396518488,4.450986472,0.03172832,0.263203289
8034,95.20373053,-3.721956754,4.966302796,4.292627972,4.271313949,0.025397704,0.261374669
8034.5,93.26864108,-3.475766015,4.874266516,4.198321457,4.136686752,0.026571418,0.259061862
8035,90.49395016,-3.5697472,4.905956815,4.099610961,4.06511805,0.031205259,0.254939318
8035.5,88.30419875,-3.766989158,5.167770777,3.983827746,4.031787204,0.035212283,0.252038205
8036,87.68307259,-3.844031879,5.398154369,3.844041037,4.007493951,0.0346174,0.251496508
8036.5,89.52878544,-3.745249493,5.349763452,3.694582963,3.964111864,0.031670153,0.254153223
8037,93.06455323,-3.529000997,5.051477985,3.554026512,3.8755004,0.034468129,0.260843467
8037.5,95.58597891,-3.255818699,4.628604804,3.438048358,3.744089804,0.040422757,0.268857269
8038,96.87227381,-2.986234908,4.231074776,3.352370707,3.607292793,0.045978132,0.269037008
8038.5,97.27650216,-2.778665466,3.986682403,3.292752512,3.496570992,0.056274758,0.274116232
8039,96.7875587,-2.651601257,3.970039799,3.255150149,3.414503711,0.06826541,0.290539176
8039.5,95.25318635,-2.58793959,4.09172323,3.236128308,3.353461375,0.056091525,0.274881183
8040,93.66061085,-2.569331161,4.20234711,3.231591043,3.306672572,0.029955308,0.263934805
8040.5,93.28744868,-2.577427507,4.160390512,3.232778707,3.267931364,0.029183929,0.265987616
8041,94.3721918,-2.596180591,4.045766086,3.229603755,3.231397434,0.03814802,0.274935586
8041.5,96.48261911,-2.616858417,4.05953459,3.212039964,3.194059736,0.043867147,0.28468397
8042,98.98198156,-2.632180108,4.185229631,3.170412887,3.160832132,0.047016075,0.291172175
8042.5,100.6897248,-2.634864788,4.1621272,3.097381321,3.137918835,0.047330344,0.294910619
8043,100.1324008,-2.617631581,3.926570613,3.013397637,3.131410441,0.042345691,0.297030317
8043.5,96.37342742,-2.573332939,3.614593233,2.960608775,3.147488989,0.04291582,0.298481545
8044,93.0491635,-2.502889311,3.344372507,2.979700873,3.188452493,0.04628159,0.299932834
8044.5,92.76989348,-2.419765928,3.325193844,3.108287003,3.249751883,0.042453436,0.301301391
8045,94.30494109,-2.338511765,3.983703772,3.315308306,3.326160213,0.039370347,0.296837051
8045.5,96.1962295,-2.273675792,5.087527313,3.515883183,3.412141362,0.042026526,0.279184233
8046,97.86628903,-2.239806981,5.435331515,3.611705378,3.498049488,0.041126584,0.259893468
8046.5,98.86305552,-2.251454305,4.977354186,3.591965357,3.552031984,0.035270526,0.255010951
8047,98.06109029,-2.322938468,4.467112167,3.537766031,3.567948646,0.02314364,0.259592328
8047.5,95.48424681,-2.452498213,4.437091177,3.526973614,3.570896949,0.019342939,0.266460553
8048,93.42720568,-2.611966956,4.606780713,3.565924281,3.58699036,0.027755478,0.270630726
8048.5,94.14419509,-2.770724664,4.355521022,3.615097309,3.620636529,0.039977317,0.273717222
8049,97.08215129,-2.898151308,4.151694487,3.632660583,3.646005901,0.050385988,0.278426139
8049.5,100.3244235,-2.96433638,4.068729729,3.585718874,3.634489978,0.059005491,0.284770949
8050,102.2373453,-2.954083041,3.99963357,3.504676841,3.565397872,0.063577523,0.290388177
8050.5,101.6930205,-2.86606793,3.914105235,3.427090463,3.459978114,0.064806295,0.292832804
8051,100.2174938,-2.699508986,3.916672773,3.356415805,3.352263832,0.060013253,0.290875686
8051.5,100.1981117,-2.455626816,4.120372938,3.292193732,3.268954569,0.047473031,0.287543501
8052,101.9776224,-2.156777025,4.090653325,3.234009452,3.195721493,0.044215227,0.286793534
8052.5,102.8334337,-1.837996364,3.662592786,3.18148807,3.117113399,0.049328682,0.291673866
8053,101.3120754,-1.534493922,3.454483407,3.134290626,3.043973474,0.046433297,0.299668925
8053.5,98.03594421,-1.281478786,3.492406288,3.092110581,2.987691148,0.04224241,0.306497515
8054,95.36942018,-1.114160044,3.619713189,3.05467068,2.953081964,0.037233591,0.312327137
8054.5,95.9089919,-1.067294217,3.678765516,3.021782038,2.932999462,0.034614749,0.318442791
8055,97.49642826,-1.144699119,3.52976044,2.994083487,2.919277923,0.040877782,0.323177553
8055.5,101.0616877,-1.299924643,3.331769375,2.972773283,2.904156497,0.05650438,0.324626121
8056,104.3110582,-1.481914458,3.341914177,2.959058758,2.886115035,0.057637293,0.321057555
8056.5,104.3280656,-1.639612232,3.637824986,2.95417426,2.871467225,0.044540657,0.314161278
8057,103.6458346,-1.722148151,3.778937246,2.95941694,2.866729648,0.035606419,0.308748249
8057.5,104.4274186,-1.714751121,3.78486712,2.976189158,2.874581152,0.033221486,0.309662638
8058,105.5189403,-1.681562591,3.674399129,3.005915431,2.894311876,0.035211048,0.31742135
8058.5,105.5823227,-1.697153486,3.455981142,3.040001228,2.925211321,0.039827741,0.326130849
8059,104.6676805,-1.829274483,3.399901767,3.061626985,2.96666549,0.043632616,0.329387983
8059.5,103.1414012,-2.074430309,3.411127926,3.086685035,3.018020425,0.043596904,0.323728746
8060,101.2736225,-2.386710719,3.776267263,3.13976453,3.075158842,0.044590349,0.312915721
8060.5,99.6387416,-2.719642208,4.571665328,3.228304707,3.129453502,0.03661116,0.301791503
8061,98.86103691,-3.026751268,4.589730571,3.311593454,3.171427254,0.023949424,0.295050017
8061.5,99.36394033,-3.261564394,4.199698707,3.34745647,3.193560757,0.024200628,0.297120266
8062,102.7479659,-3.380611127,3.833332268,3.343327753,3.200093665,0.031528678,0.305943439
8062.5,106.3235,-3.380772677,3.729972909,3.323724785,3.199194907,0.040601103,0.31077784
8063,106.9397857,-3.287804278,3.785061606,3.313216742,3.199136591,0.048991074,0.303172265
8063.5,106.9224241,-3.128087773,3.837233548,3.332170509,3.208207958,0.052901158,0.293494117
